date,department,region,revenue,units_sold
2024-01-01,Sales,East,9956,199
2024-01-02,Marketing,South,9790,195
2024-01-03,IT,South,10820,216
2024-01-04,Marketing,West,10132,202
2024-01-05,Marketing,West,9984,199
2024-01-06,Sales,West,10122,202
2024-01-07,IT,East,10145,202
2024-01-08,IT,North,9688,193
2024-01-09,Sales,North,10724,214
2024-01-10,IT,East,10507,210
2024-01-11,Marketing,North,10146,202
2024-01-12,IT,North,9734,194
2024-01-13,IT,North,9789,195
2024-01-14,IT,East,9728,194
2024-01-15,IT,West,10349,206
2024-01-16,Sales,East,9832,196
2024-01-17,Marketing,South,9658,193
2024-01-18,Sales,West,9614,192
2024-01-19,Marketing,East,10033,200
2024-01-20,IT,West,9823,196
2024-01-21,IT,West,10311,206
2024-01-22,IT,North,10807,216
2024-01-23,Sales,East,9441,188
2024-01-24,Marketing,North,10474,209
2024-01-25,Sales,South,10140,202
2024-01-26,IT,West,9818,196
2024-01-27,IT,West,10651,213
2024-01-28,Marketing,North,9191,183
2024-01-29,IT,North,10535,210
2024-01-30,IT,East,9008,180
2024-01-31,Marketing,North,10471,209
2024-02-01,Sales,South,10511,210
2024-02-02,Marketing,South,10987,219
2024-02-03,Marketing,West,10304,206
2024-02-04,Sales,South,8968,179
2024-02-05,IT,South,10148,202
2024-02-06,Marketing,West,9318,186
2024-02-07,Marketing,South,9565,191
2024-02-08,Sales,North,10356,207
2024-02-09,IT,West,10045,200
2024-02-10,Sales,South,9877,197
2024-02-11,Sales,South,10538,210
2024-02-12,Sales,West,10654,213
2024-02-13,Sales,West,10427,208
2024-02-14,Marketing,North,9813,196
2024-02-15,Marketing,West,10431,208
2024-02-16,IT,East,10302,206
2024-02-17,IT,North,10445,208
2024-02-18,Sales,North,9380,187
2024-02-19,IT,North,10112,202
2024-02-20,Sales,East,9502,190
2024-02-21,IT,South,10950,219
2024-02-22,Sales,West,10676,213
2024-02-23,Sales,South,10950,219
2024-02-24,Sales,East,10216,204
